,Truth,ASR_Predict,asr_wer
154,齁我們的租金或者是活化的個案,好然五的租金否的國法格案,0.7142857142857143
155,但是我在這邊要特別要求,但是我的隊調特別要求,0.36363636363636365
156,年收租金當作唯一的指標,免收租金黨做唯一的指標,0.2727272727272727
157,而是它實質的活化的目標,還是到實值得合法的目標,0.5454545454545454
158,到如何這個部分,到如何這個部分,0.0
159,是否以書面回應好嗎,是得以書面回應好嗎,0.1111111111111111
160,我我們多少時間可可可以做出來,文的時者的開這出來,0.7857142857142857
161,一個禮拜內,禮待命,0.8
162,我不會以這個年收租金因為我理解有些地方可能比較偏遠,不會以這個點手租金為我第解又些地方可能照片點,0.4
163,產權也破碎它的使用強度或者是它的商業價值可能沒有這麼高,產就有博髓他的使用強度過的是他的商業價值可能沒有這麼高,0.2962962962962963
164,第一我們賣的越來越難賣了,文會的業夜頭賣,0.8333333333333334
165,我們下的結論可能剛剛羅志委員有講,我曬覺很剛的最我月長,0.875
166,我可能委託專業者來協助我們阿給他一些傭金,可能委專略者來其訴我們給寫教點,0.55
167,第二租金的部分,自制的動,0.8571428571428571
168,可以出租我們都努力了所以未來大概,可以吃就目努力的是未來台,0.625
169,可以保持住,老資主,1.0
170,提醒董事長一件事情齁就是我們的這些,提醒董事整一就事情了就是我們的這些,0.17647058823529413
171,以及合作廠商之間齁,以及著合作場效之接喔,0.5555555555555556
172,這個可能還是要,這個可能下,0.42857142857142855
173,就是中間我們的所謂的利益,種建我們的作的利益,0.5
174,這兩天最大的新聞,這兩天最大的新聞,0.0
175,以及時事然是武漢肺炎或是新冠肺炎持續,以及實施的水完費獲型本費也持續,0.7777777777777778
176,那我們可以看到有一個慣性就是針對,那個可以可的到也個關心就是針對,0.5
177,針對這些慢性病的患者是他,針隊之前慢性閉的患九時的,0.5833333333333334
178,的最主要最危險的一個群眾齁,的自主要最回險的一個群眾況,0.23076923076923078
179,華盛頓州的金恩郡,所審頓週的今溫去,0.75
180,也有六死了齁六位死亡,也度死個號六位死亡,0.4
181,那我們現在全台有十六間的榮民之家,不就全在就共有十六覺得革明之家,0.625
182,那可不可以跟我們說明一下,可被根文十比攝,0.9166666666666666
183,現在我們到底,現在我們到底,0.0
184,實際的作為,奇界的作為,0.4
185,然後有多少人,有多少人,0.3333333333333333
186,我們做了些甚麼好不好,們做了選手吧,0.7
187,是我們剛剛我們的處長對委員的說明簡單的說,是古家我們的系長頓順覺帶不說,0.7
188,榮家三種人一種榮民,總家山董性不相米,0.8888888888888888
189,齁榮民伯伯,好裝易給備,1.0
190,每天早上晚上,每天砸上館家,0.5
191,各量一次體溫,這兩是提問,1.0
192,齁進出跟所有的外人一樣,炒致新口更受的萬樣,0.8181818181818182
193,都一定要要要要一定要量體溫,土一定表照表預料表情,0.8461538461538461
194,訪客跟工作人員,防客跟工作人員,0.14285714285714285
195,各式各樣的齁,各是各樣的喔,0.3333333333333333
196,報完那就是說如果他有高燒,來就蘋果她有到燒,0.6666666666666666
197,或本來就比較虛弱的,這得得習助,1.0
198,我們每天都給口罩,子的給口罩,0.625
199,然後呢有問題那邊都有醫生跟護士,隱達後了零屏問在比動以及審個故事,1.0
200,我們的員工跟訪客,們軍單更放購,0.875
201,訪客要進來,常客較進來,0.4
202,一定是測體溫戴口罩,電視這底溫代口道,0.7777777777777778
203,問你的旅遊史,你的的遊西,0.5
204,包括我們的同仁,幫我的討論,0.7142857142857143
205,包括我們委外的,被我外的,0.5714285714285714
206,照服員啦廚師都一樣,產物也聊只是都樣,0.7777777777777778
207,都照這樣處理,好都在價醬處理,0.6666666666666666
208,那如果你有齁,陸局股女友,1.0
209,這個境外的痾這個那是,這個的親外的導致人那是,0.5
210,不準進來的不管是訪客還是員工還是住民,總進來的新廣這反可品還是還是嚴還是正,0.7222222222222222
211,所以我們現在的住民齁他有,生我們線的治美要帶有,0.6666666666666666
212,旅旅遊史的人齁,迪時的了腦,0.8571428571428571
213,我我我們榮總本身,廣東能總長的罪,1.0
214,都有設隔離室,是各一事,1.0
215,那另外有在家隔離齁,所要第外有再價格離,0.7777777777777778
216,我們的榮民的部分有,的綿米的更有,0.6666666666666666
217,六個在家隔離,六個在家格裡,0.3333333333333333
218,我們的同仁是十四,甜你是實四,0.75
219,現在只有五個了,在就一的,0.8571428571428571
220,好現在剩下五個,手適的市我,1.0
221,所以榮民是六位在家隔離,雖革敏是對會在價格領,0.8181818181818182
222,工作人員是十四位在家隔離,工作人別是是四櫃在價格離,0.4166666666666667
223,如果他沒有家人的話,王日戰嗎,1.0
224,就會在我們的榮家,住戰的專家,0.75
225,的個單獨的隔離,的更單獨的個,0.42857142857142855
226,那現在掌握的現況如何,身心的掌握險況如何,0.5
227,然後我這次要問的問題是,那我自歲的問的問題是,0.45454545454545453
228,我們如何掌握他的旅遊史以及接觸史,本如可掌握他的比由是一及接觸事,0.5
229,因為我們看到這個個案其實很驚人,沒有看到這格來自成經人喔,0.8
230,我們現在的掌握是怎麼掌握掌握了些什麼,們現掌握只這麼掌握掌握的就什麼,0.3888888888888889
231,謝謝委員我是養護處處長,貼為我一就養戶重處長,0.7272727272727273
232,那榮家也是區分,那龍得也是確跟,0.5714285714285714
233,榮民的話她要離開一定要請假,人民的外他調離開定請假,0.46153846153846156
234,他請假假如長的時候我們還要讓他付他的機票,呃請假加強就時候龍的布達的基票,0.7
235,對我們一定會掌握到,是一定會掌握到,0.3333333333333333
236,他先到先請假我們就知道他預計到哪裡,他是保真請教六教他預計到哪裡,0.5294117647058824
237,那個榮民一定是準確掌握因為她一定要請假,這個龍擬定速五者確掌委因為待表請假,0.631578947368421
238,而且付他的機票,而簡負雜的機票,0.42857142857142855
239,到哪裡我們都知道,到來裡我們的指導,0.5
240,那委外的人員的話,那委外的人員的話,0.0
241,也是一樣她也她要離開工作崗位超過一天兩天,所是要他也特有離開工作崗位操作一對兩天,0.45
242,他也是要向公司請假,他也是要向公司請假,0.0
243,公司也一定會查查他,就事也定會查查到,0.4444444444444444
244,所以說這些委外人員從大陸回,協助這些委外元主大度回劃,0.6153846153846154
245,回來的話一定是在在家隔離十四天以後,雖以來的話一定是在再加隔律師世界以會,0.5294117647058824
246,位十四位加五位,會十四位著五位,0.2857142857142857
247,是有他的旅遊史,是有他的旅遊逝,0.14285714285714285
248,還有接觸史,還借助事,0.8
249,所彙整出來的,所彙整出來,0.16666666666666666
250,那是否有把它,但是否有吧,0.5
251,分割或者是分門別類,分格不子真能給了,0.8888888888888888
252,有沒有任何要補充,呃有關了的補成,0.75
253,我們主委每個禮拜一,本職有買個裏待遇,0.8888888888888888
254,跟十四家榮總,跟四四家總種上是,0.8333333333333334
255,不是啦十四家啦齁十四個榮家主任啦,十四家了套十四個仍家主任的,0.4375
256,所以她每個禮拜跟十四家的榮,是他每個禮拜的四假的動,0.5384615384615384
257,痾痾這個榮家的,把這種價的,0.7142857142857143
258,每天要回報,每天回報,0.2
259,我這邊為甚麼會特別提因為我們,我只備為什麼會特別提問我們,0.35714285714285715
260,昨天跟前昨天在確認是十三位,昨天本的且昨天的確都十三圍,0.5384615384615384
261,今天又增加到十四位工作人員在居家隔離,經有增加的十四位工作人的聚價格力,0.5555555555555556
262,所以這個部分,這以對部分,0.5
263,我我比較好奇就是說,所我較好奇說,0.4444444444444444
264,你們的標準是甚麼這個就請確認一下,們的標準是什麼這請確了一下,0.3125
265,最後一個部份齁剩下一分鐘的時間,這的部分的時下一更照時間,0.6666666666666666
266,是否可以我們那個葛處長葛處長,是否給我們那個個處長格處長,0.2857142857142857
267,葛處長我請教一下,的住找請教一下,0.5
268,這個要提醒一下,這提形象,0.7142857142857143
269,我很擔心台北市身為首都,所擔心台北是生的手都,0.5454545454545454
270,會成為我們防疫的破口,而成為我們防意的多口,0.3
271,提醒一下現在聯合醫院已經有集體離職的離職潮了喔,提醒小吃的別合醫院已經有集體離職的你職潮樓,0.34782608695652173
272,五十個醫護人員,十個醫戶肯員,0.42857142857142855
273,五十個醫護人員,若實的醫護人員,0.42857142857142855
274,正在辦理這個離職的程序,正在本理這個比職的程序,0.18181818181818182
275,有這樣的現況嗎,有這樣的現況嗎,0.0
276,那有有偵測到說這些工作人員醫護人員,那永不之這道所這些工作人員醫護人員,0.35294117647058826
277,第一線的工作人員,一是的工作人員,0.25
278,有一些異狀或者是,有些地轉獲的是,0.625
279,對於工作上面,與工作上面,0.3333333333333333
280,或或崗位上面的一些問題嗎,和崗位小面的一修問題嗎,0.3333333333333333
281,目前我們已經啟動心心理的輔導了,目前我們理經啟動新七理的輔導,0.26666666666666666
282,醫療系統如果人開始離職的話,醫療系統魔人開始離值的話,0.23076923076923078
283,就剩下中央,就是家重要,0.8
284,以及私人院所基層診所可以靠了,一只四人院所機成診所可以搞了,0.42857142857142855
285,所以在這邊提醒一下,誰了這個提醒一下,0.4444444444444444
286,你們一定要做好,一定要做好,0.2857142857142857
287,他們相對應她們有什麼需求,他們想對一旁沒什麼需求,0.4166666666666667
288,請要隨時提報好不好,請量隨時提報報寶,0.4444444444444444
289,那至於在這樣的情況之下十四位的工作者是怎麼樣感染來的,最在降停步自項斯斯位的尊作者是怎麼丹賣奶的,0.6538461538461539
290,怎麼怎麼感染來的,怎麼怎麼敢來沒,0.375
291,十四位我們沒沒沒有感染的人,是我們們六感短的,0.6923076923076923
292,不是感染的那是疾管局每天要報的報表,不是改染的類的是幾管局用每天帶的代表,0.47058823529411764
293,是說從中港,是說從中港,0.0
294,中港澳回臺灣的高危險者,香港澳回臺灣的高危選者,0.18181818181818182
295,那他們都沒有,是談們動電,0.8333333333333334
296,都沒有感染也沒有發燒但是我們要做一個統計表,對月改來沒有法送帶就沒有做的統計表,0.7142857142857143
297,有十四位要在,實四未有對,0.8333333333333334
298,他們居家隔離,他們聚價格離,0.5
299,但是那個時候是二月份的時候,賽書那個蘇資用運份的時候,0.5384615384615384
300,到目前為止到昨天,在目前為照昨天,0.375
301,那工作人員只有四位,工作員就四位,0.4444444444444444
302,榮民是三位,整理是三位,0.4
303,那個是從中港澳回來他沒有感染,那個是從這奪回沒有改染,0.42857142857142855
304,那個是疾管局的報表上面的是高危險的人物的自主管理沒有發燒沒有任何的確診,所的是計外覺的到表上面的是更更危險的人物的自主管理沒發送六熱個的確的,0.42857142857142855
305,那我們榮家呢那那六個變五個現在呢,那們家的妹妹對個並五個競在,0.5625
306,現在只有三位,所二些就三位,0.6666666666666666
307,那三位都是自主管理,這專為都是自主管理,0.3333333333333333
308,在榮單身是在榮家的一個隔離室,在龍內單純的是在龍家的就隔離次,0.5714285714285714
309,那有眷的是在外面他自己家裡面,那有這的是在半月它計佳裡面,0.5
310,超過十四天沒有症狀才會返回榮家,從會實世界六正狀成法規龍量,0.9333333333333333
311,那接下來最後一個剛剛副主委說在我們十四家的這個榮家裏頭兩家分院,會接在最後一個尷剛副組委說這姆此斯家的這個文在裏的等家分對,0.4838709677419355
312,我們通通每一個人都戴口罩,傳東的沒短的帶走上,1.0
313,痾不剛剛跟委員報告,不跑的他們等回報,0.8888888888888888
314,痾我們的同仁,保贏的臺人,0.8333333333333334
315,委外的人他必須戴口罩,買外的被得口造,0.7
316,含委外的人齁廚師,含與外著人跑求師,0.5
317,或是他量體溫超過政府規定就要,特出要良平財我總規著走票,0.9285714285714286
318,好好去維護讓大家都能夠安全,唐爾就為護換帶在更能感安全,0.6923076923076923
319,那剛剛我特別提出的,會當了特面的住的,0.7777777777777778
320,希望副主委齁,上自對望,1.0
321,跟我的秘書長用點心,根本們的記的虐長目的心,0.8888888888888888
322,我希望我們讓我們的榮民是真正從心理的,是我們那母的人女子政治總孫你的,0.7777777777777778
323,讓他們有尊嚴,讓他們有爭營,0.3333333333333333
324,我覺得這個非常重要尤其,我是這量重年尤起,0.6363636363636364
325,這個救助當中,這的制住當中,0.5
326,的確需要嗎,中就需呢,0.8
327,那我們可以怎麼樣,那了們可以怎量,0.375
328,有一個機制是適度去調,文的機制是適度之條,0.5
329,而不是一二十年我們再來調一個,們是一六十女我們在的糖等,0.6428571428571429
330,那看到這個數字呢我一則以喜,太看待做的數字難的女警一起,0.7692307692307693
331,本卸一則以憂,申屆一直以,0.6666666666666666
332,那我要請教,們幾站,1.0
333,這個副主委,自得副助為,0.8
334,我們設置喔,市自老,1.0
335,的這一個基金的目的是甚麼,的這的紀境的目的此什麼,0.5
336,今天是秘書長到嗎,今會自故司等當,0.875
337,好就這一位是嘛,或這就問什,0.8571428571428571
338,這個我們設置的目的是甚麼,是的不親字的目對此,0.8333333333333334
339,基金的設置目就是要照顧榮民榮眷,提行生入證再不總湧件,1.0
340,特別是清寒的榮民榮眷,可知氣年的總為重件,0.9
341,那為什麼突然間我們的營利可以這麼多呢,不行的通然金我們的域可震動,0.7222222222222222
342,痾這這這個大概是這樣子說齁,的自這個大概是將其時好,0.6153846153846154
343,痾有一些是,如實是,0.8
344,一次性的齁,事施的,0.8
345,怎麼說我們以前齁,怎麼是跟學頭,0.75
346,榮民的動產,全敏的動產,0.4
347,就黃金啦外鈔,楊金腦外找,0.6666666666666666
348,都不處理我們就幫她處理了,不處理和不是把到處理,0.5833333333333334
349,賣了九千多萬,買了就前的來,0.8333333333333334
350,譬如說有一個叫華心,平受一個腳滑心,0.6666666666666666
351,那會不會被認為說是,發會饋帶不特們是字,0.8888888888888888
352,是你黃金把他處理了黃金在貴一點在賣,姓母王金拿出女黃金文目等在嗎,0.7647058823529411
353,他的他的這個,他的他對記得,0.5
354,這個這個價值更高,這的價子更高,0.5
355,痾我因為跟,的隊燈,1.0
356,以前就都把把他放著,行就住宅打善者,0.8888888888888888
357,裡面是甚麼都搞不清楚啦齁那,別內是什麼都頭不請處稿,0.6923076923076923
358,所以在這邊答覆,順在中面打復,0.8571428571428571
359,不要亂答因為我們依法辦,暖們拿亞們你法,0.8181818181818182
360,尤其副主委你也是資深的國會委員,遵請副組的貼自自身的公夢,0.8666666666666667
361,他一定要依法辦阿你這樣說搞不清楚那以前的,貪跌日把辦面你將是改不經總類已經的,0.8
362,人員通通都要關起來囉,人每的針對問起來了,0.7
363,通通要打屁股囉,龍了,1.0
364,跟委員報告是真的有問題,升文巴是正的有題,0.6363636363636364
365,細節就不談,細決,0.8
366,那因為我們這個拍賣是很嚴格的,所英我們這個排們水原格,0.6428571428571429
367,只能交給台銀拍賣,是文交給他銀拍賣,0.375
368,本席現在沒有跟你講說你的拍賣的方式,現日根你講座你的拍賣的當次,0.5294117647058824
369,而是在討論剛剛唯一提出說我們設置的目的,阿是討論幹本體出所文們四字的目的,0.5789473684210527
370,就是要照顧,住像照顧,0.6
371,因為當時遷逃到台灣來,擔時尖島在臺灣啊,0.8
372,我覺得台灣不能有族群的一個對立,我真的談灣部物總群內的對,0.7333333333333333
373,學長副主委你絕對認同這一點,生產不總你絕對運毒罪,0.7692307692307693
374,因為剛開始來的篳路藍縷,剛開起來的動入人,0.6363636363636364
375,一直到目前說每一位,是大目前松因為,0.7777777777777778
376,我們都要非常的尊敬,準的對種的政治,0.8888888888888888
377,所以因此我看見這個數字我說了一,稱請幹的自個數字母送了一,0.6666666666666666
378,那麼更看到呢也就是說在我們的財產總額,的更看到難也政直說但蒙的財產總和,0.5
379,在你八月二十三號,這裏八月十三後,0.5
380,特別這一天也是八二三炮戰的紀念日,們最一點也大二前泡贊的境內日,0.6875
381,所以我們看到你們所提出的報告呢,順看看你們所提重的霸幹了,0.6
382,是有十億的基金總額度呢,智門十意的進行整個動了,0.8181818181818182
383,到目前為止是二十三點一五八三,項目前為自己二死三點木大山,0.5714285714285714
384,五四六八億,總是募把,1.0
385,看到這個數字我說,才們自數字麼說,0.625
386,我是一則以喜一則以憂,純心子一襲浴子疑,1.0
387,喔那我剛才也特別提出,鳳罵幹任了都來對別提說,0.9
388,黃金你現在賣了,環經理在賣了人,0.7142857142857143
389,也不一定是對,規肚子隊,1.0
390,但是你已經賣掉了,在是地已經外掉,0.5
391,喔那所以我們知道,那孫用知道,0.625
392,一定要有來源,一動了來源,0.5
393,來源再變賣我們的財產,傳人的被滿穩的菜展,0.9
394,去換現金去,請換線件去,0.6
395,提補以前的短處的這個部分,前本以前的短示的這個爆站,0.4166666666666667
396,那所以我又看你的數字也就是說我們服務到現在,雖身會看到裏的數字也助送的們增等訊在,0.7142857142857143
397,是大概七千餘人次,是在對七千於人次,0.375
398,所以本席要跟你討論的是,是本家頓騰的就是,0.8181818181818182
399,救助的標準,數字的標子,0.6
400,剛剛我也感謝,因為感示,0.8333333333333334
401,從這個兩萬四萬五萬到現在的,從這個兩賣資量五萬到現在的,0.23076923076923078
402,這個這一百零八年度所提出的,這的總百零八年度不所推出的,0.38461538461538464
403,三萬五萬六萬,相萬外六亂,0.6666666666666666
404,似乎有各提升一萬,施工的各地曾一了,0.75
405,我不知道這個標準是甚麼請問,不再這標主次成,0.7692307692307693
406,跟委員報告一下,身為帶效,1.0
407,都是以人民件為主,十說明就為主,0.75
408,本席提出兩萬變三萬一般榮民,本題集出兩萬變相關一般人民,0.38461538461538464
409,標準是甚麼,該註自麼,0.8
410,低收入戶也有五萬到六萬的標準是甚麼,多木共也無們到六半的該主是什麼,0.6470588235294118
411,第一個跟委員報告一下,這都文道笑,1.0
412,兩萬塊是好幾十,兩論口是好幾,0.42857142857142855
413,好幾年之前就設定了,只小請也自持就設定,0.7777777777777778
414,物價只是沒有跟上,是假子目更少,1.0
415,所以我們調高他一萬塊就變成三萬塊,是長購他一萬跑就被小文款,0.75
416,所以本席要跟你探討,資本銀對被電倒,0.8888888888888888
417,副主委在這邊齁,四個在的邊貌,0.7142857142857143
